state,county,age_adjusted_rate_per_100_000,state_abbrv
Florida,Union,1248.4,FL
Minnesota,Traverse,693.5,MN
Texas,Polk,679.5,TX
Nebraska,Greeley,653.1,NE
South Dakota,Dewey,634.5,SD
Mississippi,Quitman,626.5,MS
Montana,Wheatland,626.0,MT
South Dakota,Faulk,625.3,SD
Texas,Stonewall,621.1,TX
Nebraska,Logan,609.3,NE
Kentucky,Lincoln,608.6,KY
Kentucky,Floyd,606.6,KY
Georgia,Chattahoochee,605.6,GA
Kentucky,Bracken,605.3,KY
Montana,Rosebud,602.9,MT
Kentucky,Knox,595.8,KY
Nebraska,Hitchcock,593.2,NE
South Dakota,Aurora,592.3,SD
Kentucky,Owsley,592.1,KY
Kentucky,Powell,592.1,KY
Illinois,Menard,591.0,IL
Tennessee,Trousdale,588.7,TN
Kentucky,Livingston,588.6,KY
Kentucky,Estill,586.6,KY
Texas,Hudspeth,585.8,TX
Arkansas,Lawrence,585.0,AR
Kentucky,Bath,583.7,KY
Kentucky,Adair,583.1,KY
Minnesota,Lincoln,582.3,MN
North Dakota,Rolette,580.9,ND
Iowa,Palo Alto,580.0,IA
Kentucky,Cumberland,579.6,KY
South Dakota,McCook,578.8,SD
West Virginia,Pleasants,577.4,WV
West Virginia,Logan,576.7,WV
Kentucky,Grant,575.8,KY
Kentucky,Wolfe,574.5,KY
Georgia,Pickens,572.1,GA
Montana,Golden Valley,571.9,MT
Kentucky,Whitley,569.5,KY
Texas,Camp,568.8,TX
Iowa,Cass,568.8,IA
Minnesota,Mahnomen,568.0,MN
Illinois,Shelby,567.9,IL
Kentucky,Grayson,567.0,KY
Ohio,Lawrence,566.0,OH
Virginia,Essex,565.6,VA
Illinois,Marion,565.2,IL
Kentucky,Clinton,565.1,KY
Maine,Piscataquis,564.2,ME
Illinois,Alexander,564.2,IL
Kentucky,Butler,563.2,KY
Montana,Prairie,563.0,MT
Missouri,Ripley,561.3,MO
Virginia,Mathews,560.8,VA
Illinois,Morgan,560.2,IL
Arkansas,Poinsett,559.5,AR
Alabama,Crenshaw,558.5,AL
West Virginia,Lewis,558.0,WV
Illinois,Pike,557.7,IL
South Dakota,Jackson,556.9,SD
Illinois,DeKalb,556.8,IL
Nebraska,Blaine,556.6,NE
Kentucky,Carter,555.8,KY
Kentucky,Harrison,555.1,KY
North Carolina,Anson,554.9,NC
Iowa,Cherokee,554.9,IA
Illinois,Scott,554.9,IL
Illinois,Clay,554.3,IL
Illinois,Macon,553.7,IL
Ohio,Pike,553.3,OH
Florida,Hernando,553.1,FL
West Virginia,Lincoln,553.0,WV
Maine,Washington,552.8,ME
Kentucky,Taylor,552.7,KY
Minnesota,Red Lake,552.4,MN
Kentucky,Lawrence,552.4,KY
Kentucky,Monroe,551.7,KY
Iowa,Appanoose,551.7,IA
West Virginia,Clay,551.1,WV
Kentucky,Henry,551.1,KY
Kentucky,Pike,550.7,KY
South Dakota,Kingsbury,550.1,SD
Kentucky,Spencer,550.0,KY
Illinois,Mason,549.5,IL
Georgia,Twiggs,549.2,GA
New York,Niagara,549.0,NY
Kentucky,McLean,548.5,KY
Kentucky,Fleming,548.5,KY
Alabama,Lowndes,548.3,AL
Pennsylvania,Montour,548.0,PA
Kentucky,Clay,547.7,KY
Kentucky,Rockcastle,547.5,KY
New York,Orleans,547.5,NY
New Jersey,Cape May,547.2,NJ
Mississippi,Tishomingo,547.2,MS
Illinois,Pulaski,546.9,IL
Minnesota,Norman,546.5,MN
Missouri,Oregon,546.3,MO
Iowa,Harrison,546.2,IA
South Dakota,Buffalo,546.1,SD
New York,Oswego,545.7,NY
Illinois,Sangamon,545.7,IL
Texas,Edwards,545.6,TX
Kentucky,Carlisle,545.2,KY
Kentucky,Mercer,545.0,KY
Kentucky,Green,544.7,KY
Illinois,Greene,544.6,IL
Illinois,Macoupin,544.4,IL
Ohio,Washington,544.3,OH
Minnesota,Wilkin,544.2,MN
Kentucky,Montgomery,543.9,KY
Kentucky,Owen,543.9,KY
Arkansas,Drew,543.8,AR
Mississippi,Coahoma,543.8,MS
Illinois,Christian,543.5,IL
Nebraska,Garfield,542.7,NE
Vermont,Grand Isle,542.6,VT
Texas,Delta,542.5,TX
Georgia,Pike,542.0,GA
Florida,Nassau,541.8,FL
Illinois,Grundy,541.8,IL
Texas,Armstrong,541.7,TX
Mississippi,Humphreys,541.6,MS
Kentucky,Breckinridge,541.5,KY
Georgia,Elbert,541.3,GA
South Dakota,Sanborn,541.3,SD
Virginia,Nottoway,541.2,VA
Virginia,Amelia,541.1,VA
New York,Cortland,541.0,NY
Iowa,Monroe,540.9,IA
Illinois,Logan,540.8,IL
Minnesota,Clay,540.1,MN
Mississippi,Covington,539.7,MS
Iowa,Howard,539.3,IA
Arkansas,Woodruff,539.3,AR
Georgia,White,538.7,GA
South Dakota,Clay,538.2,SD
Kentucky,Hardin,538.2,KY
Kentucky,Perry,538.1,KY
Montana,Musselshell,538.0,MT
Montana,Jefferson,537.7,MT
Kentucky,Boyd,537.6,KY
Kentucky,Hart,537.5,KY
Virginia,Lancaster,537.4,VA
North Carolina,McDowell,537.2,NC
Missouri,Montgomery,537.0,MO
Georgia,Jasper,536.9,GA
Texas,Martin,536.7,TX
North Carolina,Onslow,536.5,NC
Illinois,Vermilion,536.1,IL
Tennessee,Marshall,535.6,TN
Maryland,Allegany,535.4,MD
Kentucky,Marion,535.4,KY
Kentucky,Oldham,535.1,KY
Kentucky,Russell,535.1,KY
New York,Jefferson,534.9,NY
Oklahoma,Pawnee,534.7,OK
Wisconsin,Menominee,534.6,WI
Georgia,Lumpkin,534.6,GA
West Virginia,Wetzel,534.6,WV
New York,Schuyler,534.6,NY
Kentucky,Wayne,534.5,KY
North Carolina,Swain,534.3,NC
Arkansas,Randolph,534.2,AR
Georgia,Habersham,534.1,GA
Georgia,Effingham,534.1,GA
Kentucky,Bullitt,534.0,KY
Georgia,Terrell,533.9,GA
Missouri,Mississippi,533.7,MO
South Dakota,Minnehaha,533.7,SD
Pennsylvania,Schuylkill,533.4,PA
Iowa,Decatur,533.4,IA
West Virginia,Wayne,533.2,WV
Nebraska,Franklin,532.9,NE
Kentucky,Trimble,532.9,KY
Kentucky,Pendleton,532.7,KY
Illinois,Mercer,532.6,IL
West Virginia,Harrison,532.4,WV
Georgia,Oglethorpe,532.3,GA
Nebraska,Boone,532.1,NE
Kentucky,Gallatin,532.0,KY
Kentucky,Nelson,531.5,KY
Iowa,Clinton,531.5,IA
Kentucky,Barren,531.5,KY
Kentucky,Harlan,531.4,KY
Illinois,Franklin,531.2,IL
Georgia,Lee,531.1,GA
Minnesota,Hubbard,531.1,MN
Florida,Flagler,531.0,FL
Arkansas,Jefferson,531.0,AR
Iowa,Tama,530.8,IA
Minnesota,Grant,530.6,MN
New Jersey,Gloucester,530.6,NJ
Georgia,Sumter,530.5,GA
Missouri,Marion,530.0,MO
Georgia,Jones,530.0,GA
Texas,Baylor,529.8,TX
Tennessee,Humphreys,529.8,TN
Texas,Walker,529.7,TX
Kentucky,Calloway,529.4,KY
Wisconsin,Langlade,529.2,WI
Missouri,Iron,529.1,MO
Iowa,Madison,528.9,IA
Kentucky,Bourbon,528.9,KY
Minnesota,Chippewa,528.2,MN
Kentucky,Pulaski,527.8,KY
West Virginia,Mason,527.7,WV
Kentucky,Metcalfe,527.6,KY
North Dakota,McLean,527.4,ND
Maine,Penobscot,527.4,ME
Georgia,Warren,527.2,GA
South Dakota,Jerauld,527.2,SD
Texas,Morris,527.1,TX
South Dakota,Haakon,526.9,SD
Colorado,Jackson,526.8,CO
Arkansas,Clay,526.8,AR
Florida,Citrus,526.6,FL
Texas,Jasper,526.6,TX
Iowa,Montgomery,526.5,IA
West Virginia,Mingo,526.4,WV
North Dakota,Mercer,526.4,ND
Colorado,Cheyenne,525.9,CO
Iowa,Franklin,525.7,IA
Georgia,Barrow,525.7,GA
Nebraska,Thurston,525.7,NE
Nebraska,Thayer,525.7,NE
Virginia,Sussex,525.4,VA
Florida,Marion,525.1,FL
Kentucky,Logan,525.1,KY
New York,Montgomery,525.0,NY
Illinois,Jasper,524.7,IL
Georgia,Lanier,524.6,GA
Illinois,Fulton,524.6,IL
Missouri,Madison,524.5,MO
New York,Fulton,524.4,NY
New Jersey,Ocean,524.3,NJ
Iowa,Clay,523.8,IA
Georgia,McDuffie,523.7,GA
Missouri,St. Francois,523.5,MO
